Wall time,Step,Value
1692702448.4528158,100,0.2945266664028168
1692702453.959914,200,0.1069379448890686
1692702459.055493,300,0.26913630962371826
1692702464.896545,400,0.2692382037639618
1692702470.302647,500,0.37844496965408325
1692702481.225733,665,0.3969036936759949
1692702485.920481,765,0.2212708294391632
1692702491.493143,865,0.15199391543865204
1692702495.735199,965,0.6064214110374451
1692702500.732252,1065,0.11305484175682068
1692702511.80356,1230,0.2745741903781891
1692702516.391489,1330,0.14282184839248657
1692702520.7822878,1430,0.2766268849372864
1692702525.333285,1530,0.16762465238571167
1692702530.0518599,1630,0.11676003038883209
1692702540.960803,1795,0.09060680121183395
1692702544.883463,1895,0.07375115156173706
1692702549.566635,1995,0.38622424006462097
1692702554.1904159,2095,0.459727942943573
1692702559.3044019,2195,0.4736418128013611
1692702569.519953,2360,0.29426339268684387
1692702574.7581928,2460,0.0794605165719986
1692702579.503524,2560,0.1374688744544983
1692702584.3008919,2660,0.34593698382377625
1692702589.509275,2760,0.25240299105644226
1692702600.4212701,2925,0.24385292828083038
1692702606.586267,3025,0.17870502173900604
1692702611.5627468,3125,0.18071895837783813
1692702616.0285199,3225,0.27248963713645935
1692702621.438476,3325,0.1612672507762909
1692702633.57845,3490,0.09312064200639725
1692702638.983458,3590,0.1673501878976822
1692702643.889801,3690,0.2098071277141571
1692702648.997067,3790,0.22027383744716644
1692702654.759171,3890,0.17830826342105865
1692702665.729653,4055,0.10839952528476715
1692702672.3542132,4155,0.2611362636089325
1692702677.1208918,4255,0.08236273378133774
1692702682.271222,4355,0.5087372064590454
1692702687.7416792,4455,0.418916255235672
1692702699.038007,4620,0.3666578233242035
1692702704.55873,4720,0.30711233615875244
1692702710.321019,4820,0.30665478110313416
1692702715.323545,4920,0.18225248157978058
1692702721.22947,5020,0.10876542329788208
1692702733.469919,5185,0.15210342407226562
1692702738.5913758,5285,0.08755107969045639
1692702744.2700758,5385,0.526024341583252
1692702749.412419,5485,0.2646833062171936
1692702754.541218,5585,0.26189523935317993
1692702766.388575,5750,0.20720575749874115
1692702772.212221,5850,0.11767364293336868
1692702777.232678,5950,0.12442829459905624
1692702782.647774,6050,0.1616285890340805
1692702787.689835,6150,0.13012447953224182
1692702799.037716,6315,0.1685764044523239
1692702804.41221,6415,0.11338706314563751
1692702810.678196,6515,0.1743307262659073
1692702816.151062,6615,0.1319083273410797
1692702821.417567,6715,0.19895875453948975
1692702832.596951,6880,0.14294777810573578
1692702838.0296488,6980,0.1281205266714096
1692702843.670898,7080,0.17885765433311462
1692702849.1855779,7180,0.1189778670668602
1692702854.289732,7280,0.23488666117191315
1692702866.213588,7445,0.0796593651175499
1692702871.218303,7545,0.15967419743537903
1692702876.657841,7645,0.08714377880096436
1692702882.0666492,7745,0.27264124155044556
1692702886.54917,7845,0.3080993890762329
1692702899.275799,8010,0.15443605184555054
1692702910.722095,8110,0.20489513874053955
1692702917.062947,8210,0.11265922337770462
1692702922.856496,8310,0.16622133553028107
1692702928.417561,8410,0.19360001385211945
1692702940.52728,8575,0.2560645341873169
1692702946.3509262,8675,0.23413679003715515
1692702951.774701,8775,0.3627035319805145
1692702957.162441,8875,0.2075519859790802
1692702962.2263439,8975,0.10021661967039108
1692702974.079564,9140,0.22241389751434326
1692702980.7012851,9240,0.1377076804637909
1692702985.5281181,9340,0.08406875282526016
1692702991.015282,9440,0.3568204343318939
1692702996.090678,9540,0.20895600318908691
1692703007.802725,9705,0.3303595185279846
1692703013.686461,9805,0.25102418661117554
1692703018.913121,9905,0.23720774054527283
1692703024.214607,10005,0.24681103229522705
1692703029.9958441,10105,0.358925461769104
1692703042.209387,10270,0.1967606395483017
1692703047.695453,10370,0.17641308903694153
1692703053.106505,10470,0.2767108678817749
1692703058.3010921,10570,0.15925392508506775
1692703064.010803,10670,0.11515605449676514
1692703075.359176,10835,0.10619070380926132
1692703081.527377,10935,0.03706860914826393
1692703087.459658,11035,0.19058731198310852
1692703092.8007889,11135,0.07523923367261887
1692703098.055926,11235,0.036140576004981995
1692703110.596338,11400,0.2267019897699356
1692703115.559021,11500,0.1467452496290207
1692703120.501884,11600,0.09936859458684921
1692703126.159376,11700,0.1385134905576706
1692703131.754076,11800,0.5162276029586792
1692703142.7168052,11965,0.11202529817819595
1692703148.969353,12065,0.13027898967266083
1692703153.959299,12165,0.0636356994509697
1692703159.247305,12265,0.07538745552301407
1692703165.089459,12365,0.13262349367141724
1692703177.0128388,12530,0.25630319118499756
1692703183.638138,12630,0.8245417475700378
1692703188.683157,12730,0.6180858016014099
